initial state; best solution length; population size; initial sequence length; max iterations; selection ratio; number of crossovers; number of mutations; crossover ratio; tolerance; solution best fitness; solution iteration; solution length; execution time
364102875; 10; 100; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 37; 16; 21043000
364102875; 10; 100; 1; 5000; 0.5; 30; 150; 0.5; 100; 0; 37; 16; 20093200
364102875; 10; 100; 1; 5000; 0.5; 50; 20; 0.5; 30; 0; 87; 10; 21277800
364102875; 10; 100; 1; 5000; 0.5; 50; 20; 0.5; 60; 0; 87; 10; 20383000
364102875; 10; 100; 1; 5000; 0.5; 50; 20; 0.5; 100; 0; 87; 10; 20011600
364102875; 10; 100; 1; 5000; 0.5; 50; 50; 0.5; 30; 0; 65; 12; 23976700
364102875; 10; 100; 1; 5000; 0.5; 50; 50; 0.5; 60; 0; 65; 12; 23906700
364102875; 10; 100; 1; 5000; 0.5; 50; 50; 0.5; 100; 0; 65; 12; 24131400
364102875; 10; 100; 1; 5000; 0.5; 50; 100; 0.5; 30; 0; 40; 10; 17615400
364102875; 10; 100; 1; 5000; 0.5; 50; 100; 0.5; 60; 0; 40; 10; 17984900
364102875; 10; 100; 1; 5000; 0.5; 50; 100; 0.5; 100; 0; 40; 10; 17586000
364102875; 10; 100; 1; 5000; 0.5; 50; 150; 0.5; 30; 0; 35; 12; 17729800
364102875; 10; 100; 1; 5000; 0.5; 50; 150; 0.5; 60; 0; 35; 12; 19580300
364102875; 10; 100; 1; 5000; 0.5; 50; 150; 0.5; 100; 0; 35; 12; 21054200
304165827; 13; 10; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 183; 21; 11183700
304165827; 13; 10; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 99; 13; 5943300
304165827; 13; 10; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 158; 13; 8813500
304165827; 13; 10; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 90; 13; 7763000
304165827; 13; 10; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 206; 17; 19273800
304165827; 13; 10; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 161; 13; 13004300
304165827; 13; 10; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 84; 21; 11434600
304165827; 13; 10; 1; 5000; 0.5; 20; 100; 0.5; 60; 0; 112; 19; 13957100
304165827; 13; 10; 1; 5000; 0.5; 20; 100; 0.5; 100; 0; 112; 17; 12735300
304165827; 13; 10; 1; 5000; 0.5; 20; 150; 0.5; 30; 0; 60; 29; 7758900
304165827; 13; 10; 1; 5000; 0.5; 20; 150; 0.5; 60; 0; 60; 29; 7716100
304165827; 13; 10; 1; 5000; 0.5; 20; 150; 0.5; 100; 0; 60; 29; 7610700
304165827; 13; 10; 1; 5000; 0.5; 30; 20; 0.5; 30; 0; 92; 13; 5222700
304165827; 13; 10; 1; 5000; 0.5; 30; 20; 0.5; 60; 0; 116; 13; 6111600
304165827; 13; 10; 1; 5000; 0.5; 30; 20; 0.5; 100; 0; 139; 13; 7105200
304165827; 13; 10; 1; 5000; 0.5; 30; 50; 0.5; 30; 0; 86; 15; 8013400
304165827; 13; 10; 1; 5000; 0.5; 30; 50; 0.5; 60; 0; 105; 13; 11670000
304165827; 13; 10; 1; 5000; 0.5; 30; 50; 0.5; 100; 0; 183; 13; 15968800
304165827; 13; 10; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 84; 13; 10092800
304165827; 13; 10; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 74; 15; 7959200
304165827; 13; 10; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 76; 15; 8282500
304165827; 13; 10; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 109; 19; 15530900
304165827; 13; 10; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 120; 17; 17263700
304165827; 13; 10; 1; 5000; 0.5; 30; 150; 0.5; 100; 0; 120; 17; 17142900
304165827; 13; 10; 1; 5000; 0.5; 50; 20; 0.5; 30; 0; 93; 13; 5334700
304165827; 13; 10; 1; 5000; 0.5; 50; 20; 0.5; 60; 0; 123; 13; 7052800
304165827; 13; 10; 1; 5000; 0.5; 50; 20; 0.5; 100; 0; 624; 21; 43859700
304165827; 13; 10; 1; 5000; 0.5; 50; 50; 0.5; 30; 0; 38; 13; 4491500
304165827; 13; 10; 1; 5000; 0.5; 50; 50; 0.5; 60; 0; 38; 13; 4485700
304165827; 13; 10; 1; 5000; 0.5; 50; 50; 0.5; 100; 0; 38; 13; 4572700
304165827; 13; 10; 1; 5000; 0.5; 50; 100; 0.5; 30; 0; 31; 15; 5418400
304165827; 13; 10; 1; 5000; 0.5; 50; 100; 0.5; 60; 0; 31; 15; 5392300
304165827; 13; 10; 1; 5000; 0.5; 50; 100; 0.5; 100; 0; 31; 15; 5342800
304165827; 13; 10; 1; 5000; 0.5; 50; 150; 0.5; 30; 0; 25; 13; 5041400
304165827; 13; 10; 1; 5000; 0.5; 50; 150; 0.5; 60; 0; 25; 13; 4963900
304165827; 13; 10; 1; 5000; 0.5; 50; 150; 0.5; 100; 0; 25; 13; 5078300
304165827; 13; 50; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 136; 13; 17511700
304165827; 13; 50; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 288; 15; 37473600
304165827; 13; 50; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 262; 13; 31407600
304165827; 13; 50; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 156; 13; 29572600
304165827; 13; 50; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 224; 13; 42442200
304165827; 13; 50; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 306; 13; 56654400
304165827; 13; 50; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 119; 19; 30064300
304165827; 13; 50; 1; 5000; 0.5; 20; 100; 0.5; 60; 0; 215; 17; 54667100
304165827; 13; 50; 1; 5000; 0.5; 20; 100; 0.5; 100; 0; 164; 31; 37955800
304165827; 13; 50; 1; 5000; 0.5; 20; 150; 0.5; 30; 0; 128; 19; 50094900
304165827; 13; 50; 1; 5000; 0.5; 20; 150; 0.5; 60; 0; 67; 25; 20585700
304165827; 13; 50; 1; 5000; 0.5; 20; 150; 0.5; 100; 0; 67; 25; 21662300
304165827; 13; 50; 1; 5000; 0.5; 30; 20; 0.5; 30; 0; 169; 15; 25071500
304165827; 13; 50; 1; 5000; 0.5; 30; 20; 0.5; 60; 0; 212; 13; 28663800
304165827; 13; 50; 1; 5000; 0.5; 30; 20; 0.5; 100; 0; 268; 13; 34143700
304165827; 13; 50; 1; 5000; 0.5; 30; 50; 0.5; 30; 0; 221; 17; 52388400
304165827; 13; 50; 1; 5000; 0.5; 30; 50; 0.5; 60; 0; 176; 15; 34814800
304165827; 13; 50; 1; 5000; 0.5; 30; 50; 0.5; 100; 0; 209; 13; 39015100
304165827; 13; 50; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 204; 15; 57631000
304165827; 13; 50; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 117; 17; 28667400
304165827; 13; 50; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 280; 13; 72813600
304165827; 13; 50; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 178; 21; 61970500
304165827; 13; 50; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 138; 25; 39810400
